"id","label","obsolete","ordering"
"Call","lable.vocabulary.Call","0","10"
"Chat","lable.vocabulary.Chat","0","15"
"Emailing","lable.vocabulary.Emailing","0","20"
"Meeting","lable.vocabulary.Meeting","0","30"
"Note","Note","0","40"
"SMS","SMS","0","50"
