"id","label","obsolete","ordering"
"CEO","CEO","0","10"
"CTO","CTO","0","15"
"Developer","Developer","0","20"
"Manager","Manager","0","30"
"Project Manager","Project Manager","0","40"
"Sales Rep","Sales Rep","0","50"
