"id","label","parent","obsolete"
"--paper-slider-pin-color","--paper-slider-pin-color","Forms & Buttons","0"
"--paper-toggle-button-checked-bar-color","--paper-toggle-button-checked-bar-color","Forms & Buttons","0"
"--paper-toggle-button-checked-button-color","--paper-toggle-button-checked-button-color","Forms & Buttons","0"
"--paper-toggle-button-checked-ink-color","--paper-toggle-button-checked-ink-color","Forms & Buttons","0"
"--paper-toggle-button-unchecked-bar-color","--paper-toggle-button-unchecked-bar-color","Forms & Buttons","0"
"--paper-toggle-button-unchecked-button-color","--paper-toggle-button-unchecked-button-color","Forms & Buttons","0"
"--paper-toggle-button-unchecked-ink-color","--paper-toggle-button-unchecked-ink-color","Forms & Buttons","0"
"--paper-fab-background","--paper-fab-background","Forms & Buttons","0"
"--paper-fab-disabled-background","--paper-fab-disabled-background","Forms & Buttons","0"
"--paper-fab-disabled-text","--paper-fab-disabled-text","Forms & Buttons","0"
"--paper-icon-button-disabled-text","--paper-icon-button-disabled-text","Forms & Buttons","0"
"--paper-radio-button-unchecked-color","--paper-radio-button-unchecked-color","Forms & Buttons","0"
"Loaders","Loaders","","0"
"--paper-progress-active-color","--paper-progress-active-color","Loaders","0"
"--paper-progress-secondary-color","--paper-progress-secondary-color","Loaders","0"
"--paper-spinner-layer-1-color","--paper-spinner-layer-1-color","Loaders","0"
"--paper-spinner-layer-2-color","--paper-spinner-layer-2-color","Loaders","0"
"--paper-spinner-layer-3-color","--paper-spinner-layer-3-color","Loaders","0"
"--paper-spinner-layer-4-color","--paper-spinner-layer-4-color","Loaders","0"
"Charts","Charts","","0"
"--chart-pie-canvas-1-color","--chart-pie-canvas-1-color","Charts","0"
"--chart-pie-canvas-2-color","--chart-pie-canvas-2-color","Charts","0"
