id,label,obsolete,ordering
integerField1,integerField1,0,10
integerField2,integerField2,0,20
integerField3,integerField3,0,30
integerField4,integerField4,0,40
integerField5,integerField5,0,50
integerField6,integerField6,0,60
integerField7,integerField7,0,70
integerField8,integerField8,0,80
integerField9,integerField9,0,90
integerField10,integerField10,0,100

